RTT,Davg,Uavg,Dsum,Usum
57.31,16.1,15.84,64.38,63.35
52.11,17.49,17.26,69.95,69.04
52.17,17.71,17.48,70.82,69.92
58.78,16.93,16.78,67.59,67.14
58.28,13.87,17.26,55.46,69.04
61.22,13.93,17.56,55.62,70.26
53.18,17.8,17.63,71.2,70.5
60.58,16.41,16.88,65.65,67.51
52.09,17.5,17.2,69.99,68.79
52.17,17.68,17.38,70.7,69.52
59.41,17.48,16.43,69.9,65.7
58.74,14.28,16.89,57.11,67.55
58.59,15.45,16.73,61.82,66.94
53.11,17.8,17.52,71.19,70.06
60.55,15.27,17.67,60.49,70.67
52.09,17.48,17.19,69.91,68.74
52.16,17.68,17.41,70.73,69.64
57.64,15.47,16.31,61.89,65.24
61.53,16.12,17.38,64.5,69.54
57.48,15.26,16.19,61.02,64.76
53.15,17.84,17.52,71.35,70.07
60.43,15.67,17.4,62.66,69.61
52.11,17.48,17.06,69.91,68.25
52.2,17.72,17.42,70.89,69.67
59.18,17.06,16.5,68.26,65.98
58.8,17.02,16.48,68.06,65.91
58.51,16.1,16.04,64.31,64.17
53.1,17.79,17.59,71.17,70.37
57.29,15.37,16.29,61.46,65.17
52.08,17.43,17.12,69.71,68.48
52.13,17.7,17.38,70.78,69.5
59.63,16.73,17.49,66.92,69.94
58.39,16.29,17.06,65.18,68.26
59.09,13.86,17.54,55.45,69.64
53.13,17.83,17.6,71.31,70.41
