rrul,TCP download BE,TCP upload sum,TCP upload BK,Ping (ms) UDP BE,Ping (ms) UDP BK,TCP upload BE,Ping (ms) avg,Ping (ms) ICMP,TCP download BK,TCP totals,TCP upload avg,TCP download EF,TCP download CS5,Ping (ms) UDP EF,TCP upload EF,TCP upload CS5,TCP download sum,TCP download avg
16.2,13.1685528583,,,,,,326.444257729,326.444257729,18.1020258918,60.0298796189,,16.1493412545,12.6099596142,,,,60.0298796189,15.0074699047
16.4,10.7288015998,,,,,,329.0,329.0,11.2816869427,51.0514020097,,15.8179779687,13.2229354985,,,,51.0514020097,12.7628505024
16.6,8.82528735527,,,,,,337.142670363,337.142670363,12.1800538396,57.6293716223,,16.5762599625,20.047770465,,,,57.6293716223,14.4073429056
16.8,10.9572901938,,,,,,346.832066114,346.832066114,17.9159792659,67.070858373,,23.4586169714,14.7389719419,,,,67.070858373,16.7677145933
17.0,14.6066879504,,,,,,356.521461866,356.521461866,12.0057695639,42.8396593511,,7.65109938357,8.57610245323,,,,42.8396593511,10.7099148378
17.2,1.53897400514,,,,,,368.625690593,368.625690593,9.05767232546,34.9199739845,,12.1725249024,12.1508027515,,,,34.9199739845,8.72999349613
17.4,13.4632220292,,,,,,373.937506129,373.937506129,16.7307067049,68.543440716,,20.7958868164,17.5536251656,,,,68.543440716,17.135860179
17.6,17.3736551351,,,,,,371.918748282,371.918748282,13.5054666029,60.2581558871,,17.5049543671,11.874079782,,,,60.2581558871,15.0645389718
17.8,12.8651813227,,,,,,369.941602932,369.941602932,9.68527808719,36.6599103485,,5.44965672166,8.65979421696,,,,36.6599103485,9.16497758713
18.0,6.05696103096,,,,,,380.812305865,380.812305865,10.5224333336,47.215080497,,14.3094757611,16.3262103713,,,,47.215080497,11.8037701242
18.2,16.77224626,,,,,,392.65804637,392.65804637,17.6396279922,74.5497215923,,23.6216472828,16.5162000572,,,,74.5497215923,18.6374303981
18.4,19.801391184,,,,,,384.845119642,384.845119642,9.17354939615,55.0597580493,,14.120982847,11.9638346222,,,,55.0597580493,13.7649395123
18.6,13.5153277066,,,,,,380.279472431,380.279472431,9.02114878334,37.1187244132,,6.1963899958,8.38585792738,,,,37.1187244132,9.27968110329
18.8,9.84427279824,,,,,,385.415909557,385.415909557,12.6885264753,54.8130758128,,15.0148588121,17.2654177272,,,,54.8130758128,13.7032689532
19.0,21.8944296493,,,,,,393.533857618,393.533857618,19.9971692752,82.7647330412,,24.784833566,16.0883005507,,,,82.7647330412,20.6911832603
19.2,29.6459662466,,,,,,397.721356187,397.721356187,3.31335334859,57.3291647902,,12.6714422762,11.6984029188,,,,57.3291647902,14.3322911975
19.4,8.90358991978,0.0676522602183,,,,0.0676522602183,396.761642369,396.761642369,7.91475445852,31.6682419152,0.0676522602183,6.44969952239,8.33254575429,,,,31.600589655,7.90014741375
19.6,19.7590106387,0.0641164230262,,,,0.0641164230262,402.278189991,402.278189991,13.8995462497,64.4537076861,0.0641164230262,14.3614586803,16.3695756944,,,,64.3895912631,16.0973978158
19.8,15.796382051,0.0605805816191,,,,0.0605805816191,407.211789192,407.211789192,20.7578809457,76.6187363995,0.0605805816191,24.42613355,15.5777592712,,,,76.5581558179,19.1395389545
20.0,18.4616022153,0.057044740212,,,,0.057044740212,413.748877359,413.748877359,4.44987134098,44.9412790912,0.057044740212,9.54571571717,12.4270450775,,,,44.884234351,11.2210585877
20.2,24.7449185537,0.0535088988049,,,,0.0535088988049,428.590052561,428.590052561,20.5962195692,76.8850910435,0.0535088988049,18.5234013377,12.967042684,,,,76.8315821447,19.2078955362
20.4,13.2338450259,,,,,,443.431227764,443.431227764,4.51712139777,43.4037296374,,13.4849019926,12.1678612211,,,,43.4037296374,10.8509324094
20.6,33.63819,,,,,,448.506797383,448.506797383,14.5242587257,72.9151725023,,13.0843650498,11.6683587269,,,,72.9151725023,18.2287931256
20.8,7.10139669971,,,,,,444.165014624,444.165014624,9.38724869509,47.9807795155,,18.4190653315,13.0730687891,,,,47.9807795155,11.9951948789
21.0,42.7204610459,,,,,,438.634416581,438.634416581,11.5548416768,68.7615692709,,3.37934665564,11.1069198925,,,,68.7615692709,17.1903923177
21.2,6.57638491955,,,,,,432.629714517,432.629714517,16.3526623993,48.0559286148,,8.84106496768,16.2858163282,,,,48.0559286148,12.0139821537
21.4,40.9887707009,,,,,,426.563581018,426.563581018,2.52173558763,66.1561011327,,14.0715676645,8.57402717971,,,,66.1561011327,16.5390252832
21.6,15.6514801407,,,,,,420.497454751,420.497454751,9.26651971641,59.5329139583,,14.1083492233,20.5065648779,,,,59.5329139583,14.8832284896
21.8,36.1977364904,,,,,,431.597689279,431.597689279,14.1954042797,72.551403683,,14.145130826,8.01313208697,,,,72.551403683,18.1378509208
22.0,25.9625891775,,,,,,427.387462746,427.387462746,14.0255929284,75.8118700135,,14.4201079463,21.4035799614,,,,75.8118700135,18.9529675034
22.2,35.54381128,,,,,,419.222317463,419.222317463,13.974845577,72.7124395425,,14.731428757,8.46235392856,,,,72.7124395425,18.1781098856
22.4,33.5480172705,,,,,,420.496968424,420.496968424,14.6398705316,78.1543988374,,11.3501205625,18.6163904727,,,,78.1543988374,19.5385997093
22.6,38.05618052,,,,,,406.154222731,406.154222731,14.6210210986,68.8814789749,,6.72226583427,9.482011522,,,,68.8814789749,17.2203697437
22.8,33.2614540311,,,,,,416.612522755,416.612522755,9.21361308103,63.6625828008,,8.49653346325,12.6909822254,,,,63.6625828008,15.9156457002
23.0,10.8524668099,,,,,,430.949007157,430.949007157,3.8062050635,50.02128256,,22.5545066636,12.8081040231,,,,50.02128256,12.50532064
23.2,15.2181813434,,,,,,424.904604987,424.904604987,1.9818927688,58.8702129006,,22.2014883564,19.468650432,,,,58.8702129006,14.7175532251
23.4,19.5838958769,,,,,,410.833087617,410.833087617,1.82352165888,49.7810900159,,12.9263429572,15.4473295228,,,,49.7810900159,12.445272504
23.6,82.530264933,,,,,,430.002910599,430.002910599,7.39205425515,103.500619097,,3.65120861492,9.92709129403,,,,103.500619097,25.8751547743
23.8,46.4175980768,,,,,,421.777346273,421.777346273,19.3510512953,96.0579879169,,12.3138675937,17.9754709512,,,,96.0579879169,24.0144969792
24.0,9.93963454474,,,,,,393.175950229,393.175950229,22.7344517335,55.9426031112,,16.0505263399,7.21799049294,,,,55.9426031112,13.9856507778
24.2,3.98524051383,,,,,,311.532458205,311.532458205,3.80367729494,33.3800817087,,2.96460759236,22.6265563076,,,,33.3800817087,8.34502042719
24.4,5.98524145305,,,,,,279.906695627,279.906695627,4.96454484621,48.7562427161,,14.5713273096,23.2351291072,,,,48.7562427161,12.189060679
24.6,31.8091951165,,,,,,298.095324103,298.095324103,8.80685441961,79.7436437973,,17.7542253798,21.3733688814,,,,79.7436437973,19.9359109493
24.8,39.4195276109,,,,,,318.801721874,318.801721874,13.9392497337,80.8543811666,,8.8130436246,18.6825601974,,,,80.8543811666,20.2135952916
25.0,28.6233683121,,,,,,343.922891129,343.922891129,13.091979307,71.6930711959,,8.11269818873,21.865025388,,,,71.6930711959,17.923267799
25.2,14.2630047131,,,,,,279.205280637,279.205280637,9.7401824012,56.771369831,,8.78900334309,23.9791793737,,,,56.771369831,14.1928424578
25.4,26.2066160833,,,,,,305.951675925,305.951675925,4.76770267226,60.7108804004,,8.06173045547,21.6748311893,,,,60.7108804004,15.1777201001
25.6,51.6109821129,,,,,,326.546613441,326.546613441,11.6595440139,94.4202636721,,8.4446180967,22.7051194486,,,,94.4202636721,23.605065918
25.8,22.9498333641,,,,,,292.312256285,292.312256285,14.3232248791,71.1211904688,,9.12171449514,24.7264177305,,,,71.1211904688,17.7802976172
26.0,13.9517111313,,,,,,273.802094755,273.802094755,8.97688542782,59.9476090492,,9.92828239761,27.0907300925,,,,59.9476090492,14.9869022623
26.2,19.6147785698,,,,,,283.570953987,283.570953987,8.6077576482,63.243237391,,9.27276390104,25.7479372719,,,,63.243237391,15.8108093477
26.4,21.4385073465,,,,,,289.876968679,289.876968679,8.54285739831,64.4767985666,,9.07347527293,25.4219585489,,,,64.4767985666,16.1191996417
26.6,22.5574637251,,,,,,294.076720347,294.076720347,8.71737212044,66.7622770683,,9.3151252844,26.1723159383,,,,66.7622770683,16.6905692671
